Date,Product,Category,Region,Units,Revenue
2024-10-06,Coffee Maker,Home,North,9,3474
2024-03-23,Desk Lamp,Home,West,4,3332
2023-10-09,Shoes,Fashion,North,4,4636
2023-02-17,T-shirt,Fashion,East,1,362
2024-09-02,Laptop,Electronics,South,8,1680
2024-03-09,Watch,Accessories,West,3,156
2024-02-28,Shoes,Fashion,West,9,3078
2024-08-18,Backpack,Accessories,East,10,3060
2024-11-20,Watch,Accessories,East,9,2079
2023-11-12,Desk Lamp,Home,West,10,10180
2023-09-17,Blender,Home,North,8,8920
2023-12-09,Smartphone,Electronics,South,3,1143
2023-05-09,Sunglasses,Accessories,South,3,483
2024-11-24,Headphones,Electronics,East,7,4172
2024-05-02,Coffee Maker,Home,South,9,9666
2023-03-19,Coffee Maker,Home,West,6,3120
2023-12-18,Desk Lamp,Home,West,3,1710
2023-04-19,T-shirt,Fashion,East,10,7150
2023-01-21,Laptop,Electronics,South,4,3856
2024-09-08,Backpack,Accessories,West,6,3852
2024-05-17,Watch,Accessories,West,7,6839
2023-03-21,Shoes,Fashion,South,4,108
2024-01-02,Backpack,Accessories,East,3,3075
2023-11-30,Sunglasses,Accessories,South,10,4510
2023-05-03,Headphones,Electronics,South,9,1440
2023-08-24,Watch,Accessories,North,4,1616
2023-01-30,Sunglasses,Accessories,North,6,1788
2023-02-12,Jacket,Fashion,East,2,1986
2024-10-23,Jacket,Fashion,East,5,2795
2024-07-03,Smartphone,Electronics,South,10,5900
2024-08-21,T-shirt,Fashion,East,2,258
2024-10-01,Sunglasses,Accessories,East,7,6097
2024-08-11,Desk Lamp,Home,South,9,9792
2023-07-05,Watch,Accessories,South,10,8810
2024-06-19,Watch,Accessories,North,7,5964
2024-01-13,Watch,Accessories,South,4,3360
2024-01-18,Sunglasses,Accessories,North,7,6748
2023-08-31,Desk Lamp,Home,East,4,2640
2024-06-24,Backpack,Accessories,East,9,8739
2023-08-11,Coffee Maker,Home,South,8,3104
2023-10-16,T-shirt,Fashion,South,7,3612
2023-12-29,Laptop,Electronics,West,8,6456
2024-10-16,T-shirt,Fashion,South,8,6688
2023-10-27,Laptop,Electronics,East,6,4860
2024-03-11,Smartphone,Electronics,North,5,2975
2023-11-25,Shoes,Fashion,East,7,6468
2023-05-08,Jacket,Fashion,South,2,2040
2024-10-14,Sunglasses,Accessories,South,6,2748
2024-01-17,Blender,Home,West,4,3252
2023-01-19,Laptop,Electronics,East,10,12000
2023-11-17,T-shirt,Fashion,North,7,5320
2023-03-02,Backpack,Accessories,East,2,2362
2024-07-25,Jacket,Fashion,West,2,1562
2024-04-25,T-shirt,Fashion,North,9,5760
2023-11-16,Coffee Maker,Home,South,6,450
2023-07-17,T-shirt,Fashion,West,3,3456
2023-10-27,Jacket,Fashion,North,10,2330
2024-12-01,Headphones,Electronics,West,2,1330
2023-03-28,Watch,Accessories,West,1,328
2024-10-09,Headphones,Electronics,East,1,945
2024-03-24,Shoes,Fashion,West,7,4200
2023-04-07,Smartphone,Electronics,South,7,2142
2024-06-23,Sunglasses,Accessories,West,1,1184
2023-09-30,Headphones,Electronics,South,4,3272
2023-05-23,Desk Lamp,Home,East,5,2065
2023-02-28,Backpack,Accessories,West,4,756
2023-09-02,Coffee Maker,Home,South,6,7194
2023-03-05,Laptop,Electronics,West,6,1656
2023-07-24,Desk Lamp,Home,North,8,8056
2024-07-19,T-shirt,Fashion,West,10,11960
2024-09-30,Jacket,Fashion,West,2,114
2023-07-29,Laptop,Electronics,South,2,1930
2024-01-28,T-shirt,Fashion,North,5,1415
2024-09-20,Sunglasses,Accessories,East,4,4756
2023-05-08,Shoes,Fashion,North,3,1662
2023-06-01,Desk Lamp,Home,East,10,10150
2023-04-05,Watch,Accessories,North,6,3120
2023-06-27,Blender,Home,South,7,2156
2023-04-07,Desk Lamp,Home,South,8,616
2024-03-19,Jacket,Fashion,South,9,5625
2024-05-20,T-shirt,Fashion,West,6,5508
2023-12-12,Coffee Maker,Home,North,5,3610
2023-05-31,T-shirt,Fashion,South,1,194
2024-01-24,Coffee Maker,Home,North,9,5274
2024-03-25,Smartphone,Electronics,North,6,6102
2023-09-01,Shoes,Fashion,East,1,542
2024-05-01,Smartphone,Electronics,South,5,5045
2023-04-24,Blender,Home,East,8,2512
2023-01-21,Shoes,Fashion,South,3,2703
2024-05-04,T-shirt,Fashion,North,1,1026
2024-12-12,Desk Lamp,Home,South,9,5310
2023-10-11,Jacket,Fashion,North,8,7432
2024-08-27,Headphones,Electronics,East,8,4392
2024-03-29,Desk Lamp,Home,North,4,1636
2024-03-31,Backpack,Accessories,West,6,6492
2023-11-29,Coffee Maker,Home,South,8,4472
2024-05-29,Jacket,Fashion,South,6,4530
2024-06-01,Sunglasses,Accessories,East,6,4092
2023-02-04,Jacket,Fashion,West,3,2247
2024-07-12,T-shirt,Fashion,North,7,4683
2024-11-09,Desk Lamp,Home,West,6,5496
2023-10-15,Headphones,Electronics,East,9,990
2023-12-28,Jacket,Fashion,South,9,10305
2023-08-07,Watch,Accessories,East,3,1782
2023-04-06,Laptop,Electronics,North,3,87
2023-09-24,Blender,Home,East,1,963
2024-12-18,T-shirt,Fashion,North,3,2118
2023-11-28,Blender,Home,East,1,1153
2023-06-22,Laptop,Electronics,East,3,2991
2023-07-25,Blender,Home,West,5,185
2024-06-12,Laptop,Electronics,North,7,7637
2024-06-02,Sunglasses,Accessories,North,1,929
2024-03-30,Shoes,Fashion,South,7,1295
2024-03-22,Blender,Home,South,4,2016
2023-01-01,Jacket,Fashion,East,3,948
2024-02-07,T-shirt,Fashion,West,5,2065
2023-11-24,Headphones,Electronics,East,3,1167
2023-03-24,Headphones,Electronics,South,6,2628
2023-10-11,Laptop,Electronics,North,9,3906
2023-11-09,Coffee Maker,Home,East,6,678
2023-02-05,Desk Lamp,Home,East,8,808
2024-07-16,Backpack,Accessories,North,9,9324
2024-03-29,Watch,Accessories,North,5,5100
2024-11-14,Laptop,Electronics,East,7,1330
2023-09-01,Smartphone,Electronics,West,1,159
2024-07-14,Headphones,Electronics,East,6,2046
2023-08-10,Watch,Accessories,West,7,7357
2024-08-19,Watch,Accessories,South,6,2280
2024-01-07,Watch,Accessories,West,8,1504
2024-05-30,T-shirt,Fashion,South,10,3600
2023-12-14,Blender,Home,North,3,2646
2024-10-24,Laptop,Electronics,South,7,1589
2024-02-27,Blender,Home,South,7,3801
2023-10-07,Sunglasses,Accessories,North,8,440
2024-01-27,Shoes,Fashion,East,3,546
2024-09-14,Desk Lamp,Home,South,7,7959
2023-01-01,Desk Lamp,Home,North,6,6570
2024-11-13,Watch,Accessories,South,3,1929
2024-05-25,Jacket,Fashion,North,8,8112
2024-05-31,Desk Lamp,Home,West,5,2350
2023-05-18,Coffee Maker,Home,North,6,5724
2023-11-18,Jacket,Fashion,East,9,7236
2023-06-28,Smartphone,Electronics,East,7,8092
2024-10-16,Watch,Accessories,North,7,2345
2023-01-05,Headphones,Electronics,East,8,2616
2024-10-11,Blender,Home,South,3,564
2024-03-15,T-shirt,Fashion,North,6,3450
2024-10-31,Shoes,Fashion,West,10,11850
2024-01-31,T-shirt,Fashion,West,7,6503
2024-03-20,Desk Lamp,Home,North,3,219
2024-02-26,Sunglasses,Accessories,East,4,740
2024-08-05,Coffee Maker,Home,West,3,1101
2024-07-04,Desk Lamp,Home,West,3,1800
2024-08-22,Jacket,Fashion,North,8,8376
2023-03-22,Laptop,Electronics,South,1,448
2024-01-13,Sunglasses,Accessories,West,9,5562
2024-09-09,Desk Lamp,Home,North,6,4794
2023-04-12,Backpack,Accessories,North,2,448
2023-03-03,Watch,Accessories,West,9,8514
2024-08-25,Sunglasses,Accessories,North,9,3150
2023-03-08,Desk Lamp,Home,East,6,1500
2023-03-28,Jacket,Fashion,South,2,1236
2024-06-20,Coffee Maker,Home,East,9,7398
2024-12-24,Laptop,Electronics,East,1,996
2023-05-16,Blender,Home,East,4,264
2024-03-02,Sunglasses,Accessories,North,7,1211
2023-10-30,Watch,Accessories,South,3,633
2023-05-19,Smartphone,Electronics,East,2,434
2024-06-17,Watch,Accessories,South,6,6852
2024-07-04,Sunglasses,Accessories,North,7,1148
2024-12-25,Smartphone,Electronics,South,4,3444
2024-12-02,Coffee Maker,Home,South,6,2640
2024-01-10,T-shirt,Fashion,South,10,6980
2023-09-17,Sunglasses,Accessories,West,3,495
2024-08-14,Laptop,Electronics,West,1,804
2023-08-25,Sunglasses,Accessories,West,7,8099
2024-01-19,Shoes,Fashion,West,3,441
2024-11-13,Sunglasses,Accessories,North,2,206
2023-07-18,T-shirt,Fashion,West,7,8302
2024-09-23,Smartphone,Electronics,West,10,1080
2024-07-03,Jacket,Fashion,West,7,5544
2023-09-06,Coffee Maker,Home,East,8,9432
2024-09-01,Sunglasses,Accessories,South,6,1740
2024-07-17,Smartphone,Electronics,North,1,461
2024-10-09,Sunglasses,Accessories,East,5,3070
2023-01-23,Shoes,Fashion,West,4,2980
2024-11-10,Headphones,Electronics,East,9,10485
2023-10-24,Watch,Accessories,East,7,3206
2023-12-25,Headphones,Electronics,West,6,2118
2024-03-01,Backpack,Accessories,West,2,2288
2024-04-07,Watch,Accessories,East,3,348
2024-07-20,Shoes,Fashion,West,6,300
2023-05-21,Jacket,Fashion,West,9,2241
2023-01-21,Coffee Maker,Home,East,2,1604
2024-03-12,Laptop,Electronics,West,10,5580
2024-10-24,Headphones,Electronics,East,8,3880
2024-10-28,Headphones,Electronics,West,10,330
2023-05-03,Backpack,Accessories,North,2,2178
2023-09-15,Desk Lamp,Home,East,9,333
2023-01-10,Blender,Home,West,4,748
2024-02-15,Jacket,Fashion,North,3,2880
2023-11-15,Laptop,Electronics,East,6,4482
2023-11-21,Watch,Accessories,East,6,450
2023-08-19,Shoes,Fashion,East,8,2448
2023-08-06,Smartphone,Electronics,West,6,2442
2024-08-18,Shoes,Fashion,North,1,1014
2024-04-22,Jacket,Fashion,East,1,444
2023-02-16,T-shirt,Fashion,North,10,5720
2023-12-16,Coffee Maker,Home,East,9,1179
2023-04-08,Backpack,Accessories,North,4,508
2023-11-15,Watch,Accessories,South,6,6084
2023-12-26,T-shirt,Fashion,East,3,3135
2024-11-13,Shoes,Fashion,East,4,2152
2024-06-09,Blender,Home,West,6,1356
2023-02-26,Blender,Home,South,3,2394
2023-10-07,Shoes,Fashion,North,10,470
2024-01-31,Headphones,Electronics,West,9,9450
2024-06-30,Coffee Maker,Home,North,7,679
2023-11-29,Shoes,Fashion,West,7,420
2024-06-23,Watch,Accessories,South,6,1836
2023-01-06,Shoes,Fashion,East,5,2465
2023-01-07,Backpack,Accessories,South,6,228
2024-03-25,Desk Lamp,Home,East,4,2988
2024-05-22,Coffee Maker,Home,East,8,2920
2024-01-06,Headphones,Electronics,West,4,588
2023-10-11,Coffee Maker,Home,South,6,2532
2024-07-15,Laptop,Electronics,East,5,355
2023-07-09,Desk Lamp,Home,East,1,566
2023-06-25,Watch,Accessories,South,7,2975
2023-07-04,T-shirt,Fashion,North,9,8352
2023-04-02,Watch,Accessories,West,10,7240
2024-03-18,T-shirt,Fashion,North,6,3036
2024-05-18,Shoes,Fashion,South,4,1776
2024-04-21,Smartphone,Electronics,West,5,4120
2024-01-20,Jacket,Fashion,North,5,2715
2023-03-24,Watch,Accessories,North,3,2028
2024-12-20,Sunglasses,Accessories,East,5,635
2023-01-08,Laptop,Electronics,East,3,3534
2023-01-26,Blender,Home,East,8,8424
2023-06-28,Sunglasses,Accessories,West,8,8944
2023-04-12,Watch,Accessories,East,8,1984
2024-04-27,Backpack,Accessories,West,7,7532
2024-07-13,Sunglasses,Accessories,West,2,1328
2024-04-01,T-shirt,Fashion,South,3,1368
2024-07-08,Coffee Maker,Home,North,6,3810
2024-10-28,Jacket,Fashion,West,2,1374
2024-11-21,Watch,Accessories,West,2,1328
2024-01-06,Desk Lamp,Home,South,6,5688
2024-08-23,Blender,Home,East,3,2727
2024-07-22,Jacket,Fashion,North,4,4652
2024-06-03,T-shirt,Fashion,North,10,11360
2024-06-04,Jacket,Fashion,East,10,5660
2023-07-03,Backpack,Accessories,North,1,160
2024-12-16,Sunglasses,Accessories,South,4,348
2023-03-15,Backpack,Accessories,East,4,4400
2023-10-12,Shoes,Fashion,South,2,450
2023-09-16,Coffee Maker,Home,North,2,1490
2024-07-13,Smartphone,Electronics,South,6,1428
